lat,lon,speed,heading,cross_track_km
30.82047,75.16821,22.6,140.3,0.011
30.81539,75.16797,25.6,5.4,0.002
30.82168,75.15723,23.2,323.4,0.004
30.82868,75.16896,28.9,189.7,0.004
30.81463,75.17746,37.6,305.9,0.021
30.81463,75.16141,21.8,21.6,0.002
30.82913,75.17999,36.0,81.9,0.012
30.82264,75.1755,21.7,93.4,0.034
30.81274,75.16573,21.2,139.2,0.015
30.82084,75.17047,34.5,289.0,0.018
30.81279,75.18439,35.4,139.2,0.006
30.81277,75.17747,34.8,73.7,0.037
30.81844,75.17167,17.5,23.4,0.01
30.80119,75.1697,24.3,28.6,0.013
30.8027,75.17221,34.6,273.6,0.028
30.80069,75.22015,0.0,160.1,1.061
30.8084,75.15476,19.4,261.4,0.015
30.81901,75.18794,31.7,245.6,0.012
30.80924,75.17284,22.3,48.7,0.012
30.8052,75.17479,42.4,51.4,0.019
30.82823,75.17114,40.4,271.9,0.021
30.81469,75.16572,32.8,259.7,0.009
30.81704,75.17011,38.9,136.1,0.007
30.8051,75.1588,28.5,27.9,0.009
30.81214,75.18982,34.1,4.4,0.001
30.81739,75.16172,39.8,103.7,0.001
30.80729,75.16334,30.0,3.3,0.018
30.81951,75.16808,26.0,82.8,0.024
30.81169,75.1819,14.4,151.0,0.024
30.81417,75.17172,27.3,43.7,0.009
30.81169,75.16171,34.6,37.5,0.013
30.83132,75.18163,35.6,322.7,0.004
30.81639,75.17745,32.0,210.8,0.016
30.80804,75.17591,23.7,336.4,0.011
30.82308,75.17733,12.2,124.5,0.021
30.80673,75.19075,24.0,243.8,0.015
30.81817,75.18908,25.6,73.7,0.004
30.80082,75.16611,25.5,222.6,0.005
30.80587,75.18459,32.9,46.7,0.015
30.81807,75.17467,43.9,0.7,0.016
30.82241,75.17559,29.0,335.4,0.001
30.81787,75.15806,26.3,199.8,0.0
30.81557,75.17024,25.9,333.7,0.016
30.81409,75.1651,29.0,120.2,0.001
30.80467,75.17822,21.4,118.0,0.002
