segment_id,hour_of_day,day_of_week,weather,cumulative_delay,actual_travel_time
7,10,2,0,1.8,15.02
15,17,3,0,2.7,29.97
11,11,5,0,9.4,22.52
8,13,6,1,2.6,13.8
7,18,3,0,0.5,12.03
19,6,5,0,2.2,25.91
11,10,1,0,1.5,20.91
11,8,3,2,2.0,27.55
4,7,2,2,0.7,6.95
8,16,2,0,2.1,11.99
3,13,4,0,0.5,4.13
2,12,3,0,4.1,6.71
12,15,4,0,2.7,16.11
6,12,6,2,0.2,11.06
2,10,5,2,6.6,11.66
1,17,0,1,2.9,3.32
12,21,6,0,1.1,14.22
12,18,2,2,0.1,28.86
17,14,1,0,3.0,22.73
10,10,2,1,1.4,25.46
16,7,0,0,7.1,25.9
15,8,1,0,0.1,26.56
15,9,3,0,0.1,26.05
19,20,3,0,8.9,33.09
12,10,6,0,10.0,31.24
3,18,2,1,0.1,6.17
5,8,1,0,3.8,12.16
19,17,5,0,0.8,34.57
7,19,1,0,3.6,16.85
9,12,4,0,6.1,17.19
7,10,0,2,0.3,17.27
18,10,6,0,0.8,31.26
4,11,3,0,0.1,3.58
14,12,2,2,0.1,23.19
18,15,1,1,0.1,27.22
9,15,3,0,4.8,16.13
2,21,2,1,1.1,4.57
15,13,3,0,2.0,20.5
7,14,2,1,4.7,16.44
12,16,3,0,2.0,15.79
8,9,5,2,1.7,21.06
15,10,4,0,0.0,26.36
3,20,0,0,2.5,5.57
14,10,3,0,0.4,24.38
17,13,0,0,4.3,24.32
4,14,3,2,0.9,7.38
18,12,6,0,3.4,24.73
8,20,1,0,3.1,13.27
4,10,4,0,2.9,10.47
2,8,6,0,0.9,5.34
6,6,5,2,0.9,11.9
10,16,4,0,6.0,17.74
4,14,0,0,0.0,3.63
18,10,1,1,0.6,41.39
12,14,2,1,2.8,21.78
2,15,6,0,5.1,8.0
10,20,4,0,1.3,12.78
4,17,5,1,3.2,10.41
14,18,6,1,2.4,30.41
16,19,1,1,0.2,35.12
15,9,1,2,2.9,39.76
8,10,0,1,5.0,22.9
14,9,5,1,14.7,46.33
8,7,1,2,0.1,13.35
16,17,1,0,3.2,30.98
13,6,2,0,1.6,17.68
18,13,0,0,0.0,19.59
15,9,0,0,2.9,28.18
13,10,5,1,0.4,27.99
9,11,1,1,1.4,15.26
15,19,2,1,0.9,32.63
13,13,3,2,1.3,23.08
1,16,4,0,2.0,3.05
7,13,6,1,1.3,10.56
9,12,0,0,2.4,14.96
1,9,2,0,0.8,4.48
12,11,5,0,3.0,17.61
8,21,2,1,5.8,18.55
11,9,1,0,0.8,20.82
19,20,4,1,2.1,30.52
17,19,0,0,3.1,32.77
8,12,3,0,2.5,12.04
3,17,1,0,1.4,5.84
3,18,0,0,3.1,8.18
1,17,6,2,0.1,2.71
5,21,5,0,1.4,8.1
10,20,0,2,2.3,19.28
7,18,2,2,0.1,18.7
9,18,6,2,2.1,23.15
7,16,4,0,3.2,11.56
9,19,3,2,4.3,27.16
8,6,4,0,0.4,10.31
12,10,2,0,14.0,33.26
2,20,3,0,2.8,5.08
1,19,3,2,1.4,3.39
16,15,1,0,0.9,20.23
5,17,3,0,2.6,12.94
3,21,0,0,6.4,9.86
12,20,4,0,2.2,16.95
8,15,5,0,3.2,12.61
3,20,5,1,1.3,5.65
1,9,4,0,1.5,4.11
3,16,1,2,1.0,5.6
5,12,3,0,3.7,9.86
15,18,2,2,1.3,36.33
14,14,6,0,0.6,18.42
3,10,6,0,1.4,5.97
1,9,0,0,5.8,5.93
5,20,1,0,4.0,9.89
14,14,6,1,1.2,21.48
7,10,3,0,7.1,18.11
9,14,5,1,0.2,12.88
15,13,2,1,0.2,22.75
15,9,3,0,0.4,25.94
10,16,1,0,0.4,12.65
13,16,2,0,0.3,15.64
19,12,6,0,3.2,25.76
7,10,2,0,2.8,14.02
17,15,2,2,3.1,30.79
4,9,2,0,3.5,10.0
5,10,6,0,4.2,11.29
7,10,3,0,0.7,14.0
13,16,2,0,2.9,18.28
15,20,3,1,2.6,25.19
11,14,2,1,8.6,24.38
4,17,2,1,0.8,8.37
13,21,1,1,0.2,19.4
7,14,3,0,3.2,11.88
19,11,5,0,4.0,25.44
2,19,3,0,1.0,4.55
10,9,4,1,2.5,24.11
13,20,6,1,0.2,19.87
6,7,5,0,9.7,15.73
12,19,1,0,0.3,21.53
12,8,3,0,0.2,19.14
11,7,1,2,0.1,19.53
7,10,5,0,1.7,14.35
1,11,1,1,0.3,2.68
1,16,1,0,4.1,4.6
13,10,0,0,6.9,28.78
9,7,3,1,0.9,14.63
3,17,1,0,3.0,9.23
7,10,0,1,0.1,16.69
6,14,0,1,1.5,10.95
8,9,2,0,1.0,13.59
9,17,2,1,0.8,21.65
5,15,6,0,3.1,8.46
1,7,5,0,0.4,1.51
19,8,3,1,5.9,47.61
10,8,2,0,3.3,19.56
12,14,5,0,3.7,18.7
15,9,3,2,8.2,44.56
9,21,5,0,8.6,18.83
