ble_count,actual_passengers,occupancy_tier
28,38,seated
34,51,crowded
24,28,seated
10,14,empty
34,42,crowded
4,7,empty
18,20,seated
32,38,seated
46,57,crowded
14,18,seated
16,22,seated
8,10,empty
8,10,empty
15,23,seated
36,52,crowded
28,35,seated
31,39,crowded
16,23,seated
1,2,empty
14,21,seated
47,52,crowded
0,1,empty
20,23,seated
34,43,crowded
20,29,seated
29,37,seated
1,1,empty
45,59,crowded
14,20,seated
24,32,seated
11,11,empty
42,57,crowded
15,21,seated
31,43,crowded
17,24,seated
35,48,crowded
17,26,seated
41,58,crowded
29,41,crowded
19,27,seated
45,59,crowded
10,15,seated
11,14,empty
33,46,crowded
36,50,crowded
37,43,crowded
37,54,crowded
39,51,crowded
43,56,crowded
1,2,empty
21,36,seated
35,50,crowded
5,6,empty
12,20,seated
6,8,empty
28,38,seated
14,17,seated
2,3,empty
20,24,seated
46,59,crowded
12,13,empty
36,49,crowded
39,57,crowded
5,8,empty
20,25,seated
37,52,crowded
0,1,empty
17,19,seated
21,27,seated
33,46,crowded
47,59,crowded
8,6,empty
32,43,crowded
3,7,empty
36,46,crowded
22,34,seated
9,13,empty
12,16,seated
29,35,seated
34,49,crowded
26,39,crowded
3,3,empty
0,1,empty
7,5,empty
43,53,crowded
31,41,crowded
1,3,empty
44,53,crowded
18,28,seated
11,17,seated
21,25,seated
33,43,crowded
22,33,seated
5,9,empty
24,35,seated
8,13,empty
20,30,seated
30,47,crowded
8,14,empty
7,7,empty
12,13,empty
13,22,seated
42,59,crowded
42,56,crowded
30,39,crowded
16,20,seated
12,15,seated
31,44,crowded
11,17,seated
39,46,crowded
37,52,crowded
14,23,seated
17,25,seated
19,24,seated
47,59,crowded
46,59,crowded
38,59,crowded
37,44,crowded
32,40,crowded
20,28,seated
13,14,empty
36,44,crowded
1,0,empty
20,24,seated
7,6,empty
5,8,empty
16,23,seated
0,0,empty
34,43,crowded
5,7,empty
19,23,seated
8,10,empty
34,50,crowded
13,16,seated
4,7,empty
27,34,seated
29,34,seated
23,32,seated
45,58,crowded
5,4,empty
28,41,crowded
32,38,seated
39,57,crowded
27,40,crowded
22,27,seated
5,6,empty
6,8,empty
6,7,empty
7,11,empty
24,33,seated
25,32,seated
36,47,crowded
40,54,crowded
16,22,seated
15,23,seated
27,36,seated
22,34,seated
33,43,crowded
31,39,crowded
14,21,seated
20,26,seated
31,34,seated
0,0,empty
31,34,seated
32,36,seated
29,46,crowded
9,13,empty
5,2,empty
0,0,empty
3,4,empty
16,25,seated
40,54,crowded
11,13,empty
34,38,seated
19,26,seated
4,8,empty
8,14,empty
12,14,empty
18,25,seated
35,41,crowded
47,59,crowded
11,12,empty
33,50,crowded
23,31,seated
25,38,seated
32,48,crowded
38,51,crowded
23,31,seated
2,3,empty
24,29,seated
27,36,seated
17,22,seated
27,38,seated
37,44,crowded
11,14,empty
34,42,crowded
22,28,seated
26,35,seated
7,12,empty
26,31,seated
2,6,empty
42,58,crowded
37,50,crowded
18,21,seated
18,27,seated
3,1,empty
31,41,crowded
31,44,crowded
45,56,crowded
40,52,crowded
6,5,empty
